GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,Station
1400000US06037183520,6037183520,55.1,8.4,13.3,44276,3787,43.3,0.3,2,54.4,90,766.2,15.7,23.7,Los Angeles,1,Highland Park
1400000US06037183610,6037183610,56.9,8.2,12.6,56563,3434,50.2,0.9,7.9,41,150,613.8,13.3,22.6,Los Angeles,1,Highland Park
1400000US06037183620,6037183620,66.7,7.1,9.6,56597,3245,50.4,2.9,10.8,35.9,150,595.8,9.7,19.6,Los Angeles,1,Highland Park
1400000US06037183701,6037183701,69.9,1.4,2,49386,3789,57.5,2.7,9.6,30.2,100,458.5,14,20.6,Los Angeles,1,Highland Park/ Southwest Museum
1400000US06037183702,6037183702,67.3,4.4,6.2,54602,2906,46.9,5.3,16.4,31.4,90,530.6,3.9,17.3,Los Angeles,1,Southwest Museum
1400000US06037183810,6037183810,63.9,7.7,10.8,47350,4406,40.7,1.4,5.7,52.2,100,529.9,17.8,29.6,Los Angeles,1,Highland Park
1400000US06037185202,6037185202,67.6,5.1,7,63545,3729,59.5,3.3,10.7,26.5,100,697,7.5,11.3,Los Angeles,1,Heritage Square
1400000US06037185310,6037185310,58.8,7.1,10.8,58194,3113,54.7,0.4,10.4,34.5,100,482.8,15.1,9.8,Los Angeles,1,Heritage Square
1400000US06037199000,6037199000,65.4,2.9,4.2,54572,5479,44.2,1.3,24.7,29.8,100,399.2,17.1,22.3,Los Angeles,1,Heritage Square/ Lincoln/Cypress
1400000US06037199400,6037199400,57.2,8.3,12.7,47031,4396,34.8,4.2,20.1,40.9,100,483.5,17.4,15.3,Los Angeles,1,Heritage Square
1400000US06037206010,6037206010,51.1,6.2,10.8,38734,3943,27.1,0.2,38.2,34.5,80,494.2,13.6,35.3,Los Angeles,1,Chinatown
1400000US06037206020,6037206020,4.9,0.2,4.3,89333,8666,41.2,33.6,3.2,22,50,,8.3,14.6,Los Angeles,1,Chinatown
1400000US06037207102,6037207102,44.5,7,13.5,26327,2866,15.8,8.7,63.2,12.3,90,494.4,15.9,33.3,Los Angeles,1,Chinatown
1400000US06037207103,6037207103,48.5,7.1,12.7,27292,2324,9.5,3.2,82,5.3,100,551.5,13,43.7,Los Angeles,1,Chinatown
1400000US06037400602,6037400602,64.8,2.5,3.7,69436,4412,52.2,1.8,6.5,39.5,100,438.9,10.4,7,Azusa,1,Azusa Downtown
1400000US06037400800,6037400800,48.2,5.3,10,84038,6846,62.9,4.9,19.7,12.6,150,479.6,4.6,16.6,Azusa,1,APU/Citrus
1400000US06037404600,6037404600,56.3,6.3,10,59375,1405,59.7,0.2,0.7,39.4,100,398.9,5.5,8.8,Irwindale,1,Irwindale
1400000US06037430002,6037430002,57,7.7,11.9,66760,6711,57.4,9.7,20.8,12.1,150,416,8.6,8.4,Duarte,1,Duarte/City of Hope
1400000US06037430101,6037430101,50.3,3.4,6.3,49688,5304,61.5,7.8,14.3,16.3,150,401.5,11.3,19.4,Duarte,1,Duarte/City of Hope
1400000US06037430721,6037430721,60.7,1.9,3.1,75375,3519,30,0.8,58.2,11,100,740.1,5.4,9.5,Arcadia,1,Arcadia
1400000US06037430801,6037430801,64.4,4.6,6.7,90189,6792,25.6,1.7,63,9.7,100,710.2,7.1,8.8,Arcadia,1,Arcadia
1400000US06037430901,6037430901,62.7,5.4,7.9,65380,4597,62.4,9.2,15.6,12.8,150,525.4,8.2,9.3,Monrovia,1,Monrovia
1400000US06037431100,6037431100,63.5,3.3,5,78190,7087,54.5,11.1,13.8,20.7,100,464.1,11.7,7.2,Monrovia,1,Monrovia
1400000US06037461901,6037461901,66.9,4,5.6,49038,5387,37.8,13.8,7,41.4,150,553.2,19.7,28.8,Pasadena,1,Memorial Park
1400000US06037461902,6037461902,56.4,4.4,7.3,28750,1810,49.2,20.2,20.4,10.2,100,703.1,7.2,35.5,Pasadena,1,Memorial Park
1400000US06037462201,6037462201,52.1,2.6,4.7,35719,3825,51,10.2,16.7,22,150,457.6,9.2,29.7,Pasadena,1,Lake Avenue
1400000US06037462302,6037462302,74.7,3.4,4.4,75000,3253,41.1,7.9,27.9,23,150,487.2,10.6,15,Pasadena,1,Allen
1400000US06037462700,6037462700,73.3,1.3,1.7,74194,5306,49.8,2.9,19.1,28.2,150,765,8.9,16.7,Pasadena,1,Allen
1400000US06037462800,6037462800,68.5,2.8,3.9,78142,2930,48.1,11.9,22.1,18,100,737.8,5.9,5.9,Pasadena,1,Allen
1400000US06037462900,6037462900,65.1,1.7,2.6,119643,3795,67.6,3.5,17.9,11,150,774.7,3.3,5.8,Pasadena,1,Sierra Madre Villa
1400000US06037463000,6037463000,63.7,4.8,7,106354,2364,58.9,6.8,27.4,6.9,150,922.9,3.8,2.8,Pasadena,1,Sierra Madre Villa
1400000US06037463602,6037463602,67.1,1.3,1.9,77043,5915,51,7.8,31.5,9.7,200,522.5,2.8,15.1,Pasadena,1,Del Mar
1400000US06037464000,6037464000,60.8,5.2,7.9,99492,5722,56.7,10.7,26,6.7,150,1107.8,3.2,10.1,Pasadena,1,Fillmore
1400000US06037480600,6037480600,67,3.2,4.5,77963,7874,59.8,4.9,22.1,13.3,200,859.6,5.6,10.4,South Pasadena,1,South Pasadena
1400000US06037480703,6037480703,69.3,6.8,8.9,106750,3694,54.5,4,34.6,6.9,100,987.7,2.9,4.8,South Pasadena,1,South Pasadena
